UnderwritingID,QuoteID,UnderwriterID,UnderwritingDate,RiskScore,Premium,PremiumRange,UnderwritingDecision,IndiaEligibleFlag,ReferredToAustraliaFlag,ReferralReasonID,AustralianUnderwriterDecision,ReferralTurnaroundHours,UnderwritingTurnaroundHours,QSTBDate,FinalPremium,QuoteValidityDays,CommunicationStatus
UW000063,Q033199,E0002,2026-01-02,40.5,2748.74,"$2,500-$4,999",Approved,True,False,,,,30.12,2026-01-03,2748.74,21.0,Sent
UW000064,Q030689,E0047,2025-12-17,48.3,3592.26,"$2,500-$4,999",Approved,True,False,,,,19.25,2025-12-18,3592.26,21.0,Acknowledged
UW000065,Q020078,E0007,2025-06-22,82.3,22273.38,"$10,000-$24,999",Approved,False,True,REF07,Approved,22.25,14.52,2025-06-23,22273.38,21.0,Sent
UW000066,Q024205,E0011,2025-09-23,54.4,2285.58,"$1,000-$2,499",Approved,True,False,,,,15.33,2025-09-23,2285.58,30.0,No Response
UW000067,Q003528,E0014,2024-09-24,89.4,29768.1,"$25,000-$49,999",Approved,False,True,REF08,Approved,52.83,67.79,2024-09-29,29768.1,45.0,No Response
UW000068,Q021493,E0046,2025-07-13,53.6,1149.73,"$1,000-$2,499",Approved,True,False,,,,19.68,2025-07-14,1149.73,21.0,Acknowledged
UW000069,Q029002,E0008,2025-11-10,56.3,3047.28,"$2,500-$4,999",Approved,True,False,,,,10.93,2025-11-10,3047.28,21.0,Acknowledged
UW000070,Q015416,E0007,2025-03-16,35.7,2655.16,"$2,500-$4,999",Approved,True,False,,,,7.0,2025-03-16,2655.16,21.0,Acknowledged
UW000071,Q038036,E0044,2026-04-29,60.6,5013.61,"$5,000-$9,999",Approved,True,False,,,,5.24,2026-04-29,5013.61,45.0,Acknowledged
UW000072,Q029371,E0017,2025-11-06,51.9,9633.14,"$5,000-$9,999",Approved,True,False,,,,12.69,2025-11-06,9633.14,30.0,Acknowledged
UW000073,Q007622,E0048,2024-11-21,67.9,13354.44,"$10,000-$24,999",Approved,True,False,,,,3.74,2024-11-22,13354.44,21.0,Sent
UW000074,Q008617,E0009,2024-11-23,57.3,1844.81,"$1,000-$2,499",Approved,True,False,,,,4.69,2024-11-23,1844.81,21.0,Sent
UW000075,Q020388,E0009,2025-06-10,68.5,27290.97,"$25,000-$49,999",Approved,True,False,,,,13.02,2025-06-10,27290.97,21.0,Sent
UW000076,Q007681,E0009,2024-11-21,65.3,13765.75,"$10,000-$24,999",Approved,True,False,,,,25.63,2024-11-22,13765.75,21.0,Sent
UW000077,Q018384,E0044,2025-05-01,45.6,2617.89,"$2,500-$4,999",Approved,True,False,,,,10.31,2025-05-02,2617.89,14.0,Sent
UW000078,Q036497,E0049,2026-03-28,66.1,30383.56,"$25,000-$49,999",Approved,True,False,,,,27.09,2026-03-29,30383.56,30.0,Acknowledged
UW000079,Q009018,E0009,2024-12-19,47.7,2030.54,"$1,000-$2,499",Approved,True,False,,,,17.58,2024-12-20,2030.54,30.0,Sent
UW000080,Q030301,E0007,2025-12-04,45.2,1880.0,"$1,000-$2,499",Approved,True,False,,,,26.27,2025-12-05,1880.0,30.0,No Response
UW000081,Q006931,E0014,2024-11-26,72.3,4514.38,"$2,500-$4,999",Approved,True,False,,,,25.5,2024-11-27,4514.38,30.0,Acknowledged
UW000082,Q022659,E0008,2025-09-01,60.2,1201.96,"$1,000-$2,499",Approved,True,False,,,,13.53,2025-09-01,1201.96,30.0,Acknowledged
UW000083,Q002230,E0011,2024-07-25,64.7,24039.08,"$10,000-$24,999",Approved,True,False,,,,8.59,2024-07-25,24039.08,30.0,Sent
UW000084,Q027224,E0011,2025-10-10,51.8,1696.65,"$1,000-$2,499",Approved,True,False,,,,3.77,2025-10-10,1696.65,30.0,Acknowledged
UW000085,Q011611,E0007,2025-01-16,43.5,2321.62,"$1,000-$2,499",Approved,True,False,,,,11.72,2025-01-17,2321.62,30.0,Sent
UW000086,Q022992,E0004,2025-08-21,60.6,9240.84,"$5,000-$9,999",Approved,True,False,,,,3.54,2025-08-21,9240.84,30.0,Sent
UW000087,Q029854,E0046,2025-11-18,46.7,1527.9,"$1,000-$2,499",Approved,False,True,REF06,Approved,7.25,11.62,2025-11-19,1527.9,30.0,Sent
UW000088,Q030519,E0044,2025-12-07,41.8,14124.47,"$10,000-$24,999",Approved,True,False,,,,13.18,2025-12-07,14124.47,21.0,Sent
UW000089,Q023159,E0004,2025-08-23,99.0,77630.99,"$50,000+",Approved,False,True,REF01,Approved,26.79,16.42,2025-08-25,77630.99,30.0,Sent
UW000090,Q032334,E0040,2026-01-26,55.1,7948.41,"$5,000-$9,999",Approved,True,False,,,,30.05,2026-01-27,7948.41,30.0,Sent
UW000091,Q015209,E0014,2025-03-02,55.6,3432.61,"$2,500-$4,999",Approved,True,False,,,,21.01,2025-03-03,3432.61,14.0,No Response
UW000092,Q009184,E0004,2024-12-14,70.0,30483.75,"$25,000-$49,999",Approved,True,False,,,,20.52,2024-12-15,30483.75,21.0,Sent
UW000093,Q000313,E0002,2024-06-01,41.6,1641.03,"$1,000-$2,499",Approved,True,False,,,,16.27,2024-06-02,1641.03,30.0,Sent
UW000094,Q033472,E0048,2026-01-03,66.9,4617.52,"$2,500-$4,999",Approved,True,False,,,,11.8,2026-01-03,4617.52,30.0,Acknowledged
UW000095,Q030004,E0024,2025-11-30,89.4,65238.4,"$50,000+",Approved,False,True,REF11,Approved,43.0,9.72,2025-12-02,65238.4,30.0,Sent
UW000096,Q000211,E0046,2024-06-09,68.9,39029.89,"$25,000-$49,999",Approved,True,False,,,,5.66,2024-06-10,39029.89,30.0,Acknowledged
UW000097,Q033423,E0004,2026-01-07,56.6,13994.5,"$10,000-$24,999",Approved,True,False,,,,25.39,2026-01-08,13994.5,45.0,Acknowledged
UW000098,Q033398,E0024,2026-01-29,41.6,1812.15,"$1,000-$2,499",Approved,True,False,,,,24.64,2026-01-30,1812.15,45.0,Sent
UW000099,Q023088,E0011,2025-08-05,56.1,1333.58,"$1,000-$2,499",Approved,False,True,REF05,Approved,20.07,13.92,2025-08-06,1333.58,14.0,Sent
UW000100,Q020968,E0007,2025-06-28,36.4,2196.09,"$1,000-$2,499",Approved,True,False,,,,2.94,2025-06-29,2196.09,21.0,Sent
UW000101,Q012933,E0017,2025-02-12,34.7,948.35,"< $1,000",Approved,True,False,,,,13.75,2025-02-12,948.35,21.0,Acknowledged
UW000102,Q033685,E0047,2026-01-31,60.5,1734.41,"$1,000-$2,499",Approved,True,False,,,,9.52,2026-01-31,1734.41,30.0,No Response
UW000103,Q013584,E0024,2025-02-26,60.5,15748.83,"$10,000-$24,999",Approved,True,False,,,,3.39,2025-02-26,15748.83,30.0,Sent
UW000104,Q038578,E0002,2026-04-10,45.6,3755.62,"$2,500-$4,999",Approved,True,False,,,,20.69,2026-04-11,3755.62,30.0,Acknowledged
UW000105,Q037869,E0007,2026-03-20,60.9,4450.32,"$2,500-$4,999",Approved,True,False,,,,10.92,2026-03-20,4450.32,21.0,Sent
UW000106,Q001435,E0024,2024-07-21,56.2,2418.67,"$1,000-$2,499",Approved,True,False,,,,8.63,2024-07-22,2418.67,21.0,Acknowledged
UW000107,Q004586,E0002,2024-09-26,46.5,2141.65,"$1,000-$2,499",Approved,True,False,,,,12.6,2024-09-26,2141.65,30.0,Sent
UW000108,Q003397,E0046,2024-08-25,59.7,1997.47,"$1,000-$2,499",Approved,False,True,REF06,Approved,37.29,16.5,2024-08-27,1997.47,21.0,Sent
UW000109,Q023756,E0014,2025-08-03,72.9,33450.48,"$25,000-$49,999",Approved,False,True,REF11,Approved,21.84,9.69,2025-08-04,33450.48,21.0,Acknowledged
UW000110,Q028193,E0017,2025-11-02,36.3,2454.31,"$1,000-$2,499",Approved,True,False,,,,12.37,2025-11-03,2454.31,45.0,Acknowledged
UW000111,Q037950,E0017,2026-04-17,48.3,3018.57,"$2,500-$4,999",Approved,True,False,,,,4.63,2026-04-17,3018.57,30.0,Acknowledged
UW000112,Q025975,E0008,2025-10-17,69.3,28556.64,"$25,000-$49,999",Approved,True,False,,,,17.47,2025-10-18,28556.64,21.0,Sent
UW000113,Q041983,E0024,2026-05-01,77.8,39231.27,"$25,000-$49,999",Approved,False,True,REF07,Approved with Conditions,61.25,16.33,2026-05-05,39231.27,30.0,Sent
UW000114,Q006955,E0009,2024-11-21,37.7,1662.23,"$1,000-$2,499",Approved,True,False,,,,10.25,2024-11-22,1662.23,21.0,Sent
UW000115,Q000202,E0049,2024-06-03,47.7,4241.79,"$2,500-$4,999",Approved,True,False,,,,4.36,2024-06-03,4241.79,21.0,Acknowledged
UW000116,Q041218,E0017,2026-05-05,79.9,30984.59,"$25,000-$49,999",Approved,False,True,REF08,Approved with Conditions,11.92,3.95,2026-05-06,30984.59,21.0,Acknowledged
UW000117,Q015769,E0040,2025-03-25,63.0,2294.71,"$1,000-$2,499",Approved,True,False,,,,14.48,2025-03-26,2294.71,14.0,Acknowledged
UW000118,Q018822,E0004,2025-05-10,54.3,14951.59,"$10,000-$24,999",Approved,True,False,,,,5.33,2025-05-10,14951.59,30.0,Sent
UW000119,Q023347,E0009,2025-08-26,38.5,2248.16,"$1,000-$2,499",Approved,True,False,,,,5.65,2025-08-26,2248.16,30.0,No Response
UW000120,Q022981,E0049,2025-08-30,46.9,2362.07,"$1,000-$2,499",Approved,False,True,REF09,Approved,5.45,5.6,2025-08-30,2362.07,21.0,Sent
UW000121,Q006851,E0008,2024-10-19,82.0,32718.43,"$25,000-$49,999",Approved,False,True,REF06,Approved,26.47,12.79,2024-10-21,32718.43,14.0,Sent
UW000122,Q034241,E0047,2026-02-06,77.2,19901.11,"$10,000-$24,999",Approved,False,True,REF01,Approved,39.5,4.41,2026-02-07,19901.11,30.0,Sent
UW000123,Q030526,E0009,2025-12-13,75.2,15362.89,"$10,000-$24,999",Approved,True,False,,,,2.86,2025-12-13,15362.89,30.0,Sent
UW000124,Q033059,E0040,2026-01-06,47.1,1340.37,"$1,000-$2,499",Approved,True,False,,,,4.9,2026-01-06,1340.37,21.0,Acknowledged
UW000125,Q005313,E0040,2024-10-22,72.3,25589.49,"$25,000-$49,999",Approved,True,False,,,,2.28,2024-10-22,25589.49,30.0,Acknowledged
UW000126,Q010266,E0017,2024-12-05,66.1,13242.55,"$10,000-$24,999",Approved,True,False,,,,6.88,2024-12-05,13242.55,21.0,Sent
UW000127,Q012120,E0002,2025-01-15,27.3,2017.84,"$1,000-$2,499",Approved,True,False,,,,16.96,2025-01-15,2017.84,14.0,Acknowledged
UW000128,Q001343,E0017,2024-07-08,60.3,2201.68,"$1,000-$2,499",Approved,True,False,,,,2.9,2024-07-08,2201.68,21.0,Acknowledged
UW000129,Q013558,E0002,2025-02-19,42.8,1064.36,"$1,000-$2,499",Approved,True,False,,,,13.2,2025-02-19,1064.36,21.0,Sent
UW000130,Q016389,E0011,2025-03-04,55.5,20262.15,"$10,000-$24,999",Declined,True,False,,,,14.51,,,,N/A
UW000131,Q003044,E0008,2024-08-06,49.0,3335.62,"$2,500-$4,999",Approved,True,False,,,,20.49,2024-08-07,3335.62,45.0,Sent
UW000132,Q020595,E0040,2025-06-16,57.6,17998.61,"$10,000-$24,999",Approved,True,False,,,,19.05,2025-06-17,17998.61,30.0,Sent
UW000133,Q025417,E0011,2025-09-17,48.6,2087.54,"$1,000-$2,499",Approved,True,False,,,,23.11,2025-09-18,2087.54,14.0,Acknowledged
UW000134,Q032540,E0034,2026-01-16,39.5,2022.11,"$1,000-$2,499",Approved,True,False,,,,13.25,2026-01-17,2022.11,14.0,Sent
UW000135,Q024864,E0034,2025-09-29,72.3,28558.64,"$25,000-$49,999",Approved,True,False,,,,11.17,2025-09-29,28558.64,14.0,Sent
UW000136,Q016205,E0007,2025-03-20,42.2,1974.12,"$1,000-$2,499",Approved,True,False,,,,21.21,2025-03-21,1974.12,21.0,Sent
UW000137,Q023886,E0040,2025-08-18,78.2,26844.27,"$25,000-$49,999",Approved,False,True,REF02,Approved,29.93,11.05,2025-08-19,26844.27,30.0,Sent
UW000138,Q005801,E0007,2024-10-30,78.4,27594.51,"$25,000-$49,999",Approved,True,False,,,,3.06,2024-10-30,27594.51,45.0,Sent
UW000139,Q031596,E0004,2025-12-15,50.9,4140.04,"$2,500-$4,999",Approved,True,False,,,,9.35,2025-12-16,4140.04,21.0,Sent
UW000140,Q019262,E0024,2025-05-16,50.1,1617.62,"$1,000-$2,499",Approved,True,False,,,,8.03,2025-05-16,1617.62,21.0,Sent
UW000141,Q006979,E0046,2024-11-12,59.6,2780.69,"$2,500-$4,999",Approved,False,True,REF04,Approved,14.19,6.98,2024-11-13,2780.69,45.0,Sent
UW000142,Q028434,E0047,2025-11-26,52.2,1458.95,"$1,000-$2,499",Approved,True,False,,,,5.87,2025-11-26,1458.95,14.0,Sent
UW000143,Q027334,E0008,2025-10-27,63.3,20187.75,"$10,000-$24,999",Approved,True,False,,,,6.54,2025-10-27,20187.75,45.0,Acknowledged
UW000144,Q041799,E0024,2026-05-07,79.6,33550.36,"$25,000-$49,999",Approved,False,True,REF06,Approved,39.82,27.37,2026-05-10,33550.36,45.0,Acknowledged
UW000145,Q038177,E0004,2026-04-12,49.9,12793.58,"$10,000-$24,999",Approved,True,False,,,,10.45,2026-04-12,12793.58,21.0,Sent
UW000146,Q009934,E0034,2025-01-01,50.6,1585.68,"$1,000-$2,499",Approved,True,False,,,,10.54,2025-01-02,1585.68,30.0,Sent
UW000147,Q034503,E0014,2026-02-15,49.3,2151.69,"$1,000-$2,499",Approved,True,False,,,,15.68,2026-02-16,2151.69,30.0,Sent
UW000148,Q007746,E0049,2024-11-24,60.0,2403.25,"$1,000-$2,499",Approved,False,True,REF03,Approved with Conditions,38.67,1.0,2024-11-25,2403.25,30.0,Acknowledged
UW000149,Q038202,E0004,2026-04-03,46.2,1808.62,"$1,000-$2,499",Approved,True,False,,,,19.27,2026-04-04,1808.62,30.0,Acknowledged
UW000150,Q007989,E0049,2024-11-13,59.5,3604.9,"$2,500-$4,999",Approved,True,False,,,,7.58,2024-11-13,3604.9,30.0,Acknowledged
UW000151,Q040152,E0040,2026-05-30,47.6,1646.94,"$1,000-$2,499",Approved,True,False,,,,9.79,2026-05-30,1646.94,45.0,Sent
UW000152,Q013219,E0002,2025-02-22,69.2,29131.8,"$25,000-$49,999",Approved,True,False,,,,14.48,2025-02-22,29131.8,45.0,Sent
UW000153,Q032530,E0049,2026-01-22,72.9,18868.15,"$10,000-$24,999",Approved,True,False,,,,8.12,2026-01-22,18868.15,21.0,Acknowledged
UW000154,Q014164,E0034,2025-02-15,54.6,21073.14,"$10,000-$24,999",Approved,False,True,REF07,Approved,18.57,7.26,2025-02-17,21073.14,14.0,Sent
UW000155,Q001641,E0004,2024-07-08,65.1,37361.94,"$25,000-$49,999",Approved,False,True,REF11,Approved,35.18,6.9,2024-07-09,37361.94,30.0,Acknowledged
UW000156,Q011726,E0034,2025-01-12,47.2,2692.79,"$2,500-$4,999",Approved,True,False,,,,18.53,2025-01-13,2692.79,21.0,Acknowledged
UW000157,Q000963,E0047,2024-06-19,74.5,59874.43,"$50,000+",Approved,False,True,REF09,Approved,22.37,18.89,2024-06-21,59874.43,45.0,Sent
UW000158,Q029848,E0011,2025-11-05,56.5,1710.36,"$1,000-$2,499",Approved,True,False,,,,7.07,2025-11-05,1710.36,45.0,No Response
UW000159,Q004126,E0011,2024-09-16,54.1,1888.64,"$1,000-$2,499",Approved,True,False,,,,13.62,2024-09-17,1888.64,30.0,No Response
UW000160,Q002142,E0048,2024-07-02,56.7,2158.49,"$1,000-$2,499",Approved,True,False,,,,4.45,2024-07-03,2158.49,30.0,Acknowledged
UW000161,Q024777,E0034,2025-09-13,80.2,36097.18,"$25,000-$49,999",Approved,False,True,REF05,Approved with Conditions,42.08,15.61,2025-09-15,36097.18,14.0,No Response
UW000162,Q021312,E0017,2025-07-04,44.3,2099.59,"$1,000-$2,499",Approved,True,False,,,,1.35,2025-07-04,2099.59,30.0,No Response
UW000163,Q000931,E0044,2024-06-04,62.1,17539.83,"$10,000-$24,999",Approved,True,False,,,,12.82,2024-06-04,17539.83,30.0,Acknowledged
UW000164,Q014967,E0011,2025-03-12,51.4,20459.93,"$10,000-$24,999",Approved,True,False,,,,9.89,2025-03-12,20459.93,30.0,Sent
UW000165,Q036882,E0011,2026-03-13,53.9,3764.06,"$2,500-$4,999",Approved,True,False,,,,29.24,2026-03-14,3764.06,21.0,Sent
UW000166,Q001577,E0024,2024-07-20,51.0,2379.96,"$1,000-$2,499",Approved,True,False,,,,9.27,2024-07-21,2379.96,21.0,Acknowledged
UW000167,Q021485,E0011,2025-07-22,53.4,17437.31,"$10,000-$24,999",Approved,False,True,REF09,Approved with Conditions,31.0,30.1,2025-07-24,17437.31,45.0,Sent
UW000168,Q021772,E0009,2025-07-09,58.5,2706.6,"$2,500-$4,999",Approved,True,False,,,,13.19,2025-07-09,2706.6,30.0,Sent
UW000169,Q037695,E0014,2026-03-28,67.5,35003.95,"$25,000-$49,999",Approved,False,True,REF07,Approved with Conditions,22.85,23.14,2026-03-29,35003.95,30.0,Acknowledged
UW000170,Q017164,E0047,2025-04-04,67.0,21948.32,"$10,000-$24,999",Approved,False,True,REF09,Approved with Conditions,32.0,30.02,2025-04-07,21948.32,30.0,Acknowledged
UW000171,Q021302,E0004,2025-07-11,79.4,57965.21,"$50,000+",Approved,False,True,REF11,Approved,40.2,5.15,2025-07-13,57965.21,21.0,Acknowledged
UW000172,Q030978,E0011,2025-12-08,47.4,4010.45,"$2,500-$4,999",Approved,True,False,,,,2.7,2025-12-08,4010.45,30.0,Sent
UW000173,Q027585,E0008,2025-10-30,56.5,3138.93,"$2,500-$4,999",Approved,True,False,,,,35.02,2025-10-31,3138.93,21.0,Acknowledged
