BindingID,QuoteID,StatusID,BrokerAcceptanceDate,BindingDate,BoundFlag,FinalPremium,PolicyPropertyCount,TurnaroundDaysQSTBtoOutcome
BIND000035,Q025243,STA06,,,False,1829.05,0,2.0
BIND000036,Q008942,STA04,,,False,36758.65,0,5.2
BIND000037,Q027958,STA01,2025-11-30,2025-12-01,True,21169.09,1,4.9
BIND000038,Q003302,STA01,2024-08-13,2024-08-19,True,25930.22,5,10.8
BIND000039,Q021206,STA01,2025-06-29,2025-07-01,True,1319.43,1,8.6
BIND000040,Q001298,STA01,2024-07-06,2024-07-08,True,2550.31,1,2.0
BIND000041,Q031879,STA08,,,False,35736.06,0,12.1
BIND000042,Q036199,STA02,,,False,14486.82,0,2.8
BIND000043,Q014447,STA05,,,False,2304.02,0,1.6
BIND000044,Q034181,STA02,,,False,4624.75,0,6.0
BIND000045,Q041352,STA03,,,False,2624.4,0,14.1
BIND000046,Q020890,STA01,2025-07-01,2025-07-02,True,929.84,1,6.7
BIND000047,Q036415,STA06,,,False,2251.48,0,14.0
BIND000048,Q020343,STA07,,,False,2788.51,0,2.3
BIND000049,Q031185,STA01,2026-01-01,2026-01-02,True,9220.75,1,8.9
BIND000050,Q017474,STA01,2025-04-24,2025-04-28,True,2906.11,1,12.8
BIND000051,Q038352,STA07,,,False,1300.75,0,4.7
BIND000052,Q031950,STA02,,,False,3328.55,0,5.8
BIND000053,Q000818,STA03,,,False,1328.88,0,16.8
BIND000054,Q022705,STA05,,,False,2355.74,0,0.9
BIND000055,Q026373,STA03,,,False,103352.78,0,8.2
BIND000056,Q031129,STA02,,,False,52392.62,0,13.9
BIND000057,Q005860,STA02,,,False,2811.63,0,12.6
BIND000058,Q035022,STA03,,,False,3475.05,0,10.6
BIND000059,Q021409,STA05,,,False,3523.89,0,5.3
BIND000060,Q017358,STA02,,,False,2170.05,0,29.0
BIND000061,Q039943,STA03,,,False,1921.74,0,3.5
BIND000062,Q033199,STA01,2026-01-06,2026-01-10,True,2748.74,1,7.5
BIND000063,Q030689,STA01,2025-12-19,2025-12-19,True,3592.26,1,2.0
BIND000064,Q020078,STA03,,,False,22273.38,0,7.0
BIND000065,Q024205,STA01,2025-09-27,2025-09-27,True,2285.58,1,4.4
BIND000066,Q003528,STA03,,,False,29768.1,0,5.6
BIND000067,Q021493,STA07,,,False,1149.73,0,6.2
BIND000068,Q029002,STA01,2025-11-15,2025-11-22,True,3047.28,1,12.4
BIND000069,Q015416,STA01,2025-03-17,2025-03-19,True,2655.16,1,3.9
BIND000070,Q038036,STA01,2026-05-02,2026-05-02,True,5013.61,1,3.7
BIND000071,Q029371,STA02,,,False,9633.14,0,3.2
BIND000072,Q007622,STA02,,,False,13354.44,0,11.4
BIND000073,Q008617,STA02,,,False,1844.81,0,2.9
BIND000074,Q020388,STA02,,,False,27290.97,0,1.5
BIND000075,Q007681,STA01,2024-12-01,2024-12-05,True,13765.75,1,13.8
BIND000076,Q018384,STA01,2025-05-10,2025-05-13,True,2617.89,1,11.2
BIND000077,Q036497,STA04,,,False,30383.56,0,18.0
BIND000078,Q009018,STA02,,,False,2030.54,0,10.0
BIND000079,Q030301,STA04,,,False,1880.0,0,3.2
BIND000080,Q006931,STA04,,,False,4514.38,0,7.4
BIND000081,Q022659,STA09,,,False,1201.96,0,5.0
BIND000082,Q002230,STA01,2024-07-27,2024-07-28,True,24039.08,4,3.5
BIND000083,Q027224,STA03,,,False,1696.65,0,8.9
BIND000084,Q011611,STA03,,,False,2321.62,0,6.8
BIND000085,Q022992,STA04,,,False,9240.84,0,12.3
BIND000086,Q029854,STA08,,,False,1527.9,0,8.6
BIND000087,Q030519,STA02,,,False,14124.47,0,2.9
BIND000088,Q023159,STA01,2025-08-28,2025-09-01,True,77630.99,1,7.2
BIND000089,Q032334,STA06,,,False,7948.41,0,6.8
BIND000090,Q015209,STA06,,,False,3432.61,0,6.2
BIND000091,Q009184,STA01,2024-12-29,2025-01-03,True,30483.75,5,19.9
BIND000092,Q000313,STA02,,,False,1641.03,0,5.3
BIND000093,Q033472,STA02,,,False,4617.52,0,9.3
BIND000094,Q030004,STA01,2025-12-08,2025-12-11,True,65238.4,2,9.7
BIND000095,Q000211,STA04,,,False,39029.89,0,10.3
BIND000096,Q033423,STA02,,,False,13994.5,0,2.6
BIND000097,Q033398,STA02,,,False,1812.15,0,9.4
BIND000098,Q023088,STA07,,,False,1333.58,0,8.8
BIND000099,Q020968,STA02,,,False,2196.09,0,9.3
BIND000100,Q012933,STA02,,,False,948.35,0,9.8
BIND000101,Q033685,STA05,,,False,1734.41,0,3.1
BIND000102,Q013584,STA02,,,False,15748.83,0,3.5
BIND000103,Q038578,STA06,,,False,3755.62,0,4.8
BIND000104,Q037869,STA01,2026-03-24,2026-03-25,True,4450.32,1,5.4
BIND000105,Q001435,STA07,,,False,2418.67,0,4.4
BIND000106,Q004586,STA03,,,False,2141.65,0,9.9
BIND000107,Q003397,STA05,,,False,1997.47,0,14.7
BIND000108,Q023756,STA01,2025-08-10,2025-08-11,True,33450.48,5,7.9
BIND000109,Q028193,STA01,2025-11-10,2025-11-15,True,2454.31,1,12.4
BIND000110,Q037950,STA04,,,False,3018.57,0,3.6
BIND000111,Q025975,STA09,,,False,28556.64,0,1.1
BIND000112,Q041983,STA04,,,False,39231.27,0,1.9
BIND000113,Q006955,STA01,2024-11-26,2024-11-30,True,1662.23,1,8.9
BIND000114,Q000202,STA02,,,False,4241.79,0,5.5
BIND000115,Q041218,STA01,2026-05-06,2026-05-08,True,30984.59,1,2.5
BIND000116,Q015769,STA01,2025-03-29,2025-04-01,True,2294.71,1,6.3
BIND000117,Q018822,STA03,,,False,14951.59,0,8.1
BIND000118,Q023347,STA06,,,False,2248.16,0,15.6
BIND000119,Q022981,STA02,,,False,2362.07,0,8.1
BIND000120,Q006851,STA04,,,False,32718.43,0,12.1
BIND000121,Q034241,STA02,,,False,19901.11,0,7.9
BIND000122,Q030526,STA02,,,False,15362.89,0,15.8
BIND000123,Q033059,STA01,2026-01-08,2026-01-09,True,1340.37,1,3.3
BIND000124,Q005313,STA03,,,False,25589.49,0,7.6
BIND000125,Q010266,STA02,,,False,13242.55,0,3.1
BIND000126,Q012120,STA03,,,False,2017.84,0,12.9
BIND000127,Q001343,STA03,,,False,2201.68,0,3.7
BIND000128,Q013558,STA01,2025-02-24,2025-03-01,True,1064.36,1,10.7
BIND000129,Q003044,STA01,2024-08-07,2024-08-11,True,3335.62,1,4.5
BIND000130,Q020595,STA01,2025-06-23,2025-06-25,True,17998.61,3,8.2
BIND000131,Q025417,STA01,2025-09-28,2025-10-02,True,2087.54,1,14.3
BIND000132,Q032540,STA01,2026-01-18,2026-01-18,True,2022.11,1,1.5
BIND000133,Q024864,STA02,,,False,28558.64,0,4.9
BIND000134,Q016205,STA01,2025-03-25,2025-03-26,True,1974.12,1,5.2
BIND000135,Q023886,STA01,2025-08-20,2025-08-21,True,26844.27,5,2.5
BIND000136,Q005801,STA06,,,False,27594.51,0,11.3
BIND000137,Q031596,STA02,,,False,4140.04,0,1.9
BIND000138,Q019262,STA01,2025-05-23,2025-05-23,True,1617.62,1,7.3
BIND000139,Q006979,STA01,2024-11-17,2024-11-22,True,2780.69,1,9.4
BIND000140,Q028434,STA05,,,False,1458.95,0,8.8
BIND000141,Q027334,STA03,,,False,20187.75,0,12.7
BIND000142,Q041799,STA03,,,False,33550.36,0,9.8
BIND000143,Q038177,STA03,,,False,12793.58,0,10.5
BIND000144,Q009934,STA07,,,False,1585.68,0,1.3
BIND000145,Q034503,STA01,2026-02-23,2026-02-27,True,2151.69,1,11.2
BIND000146,Q007746,STA07,,,False,2403.25,0,1.5
BIND000147,Q038202,STA02,,,False,1808.62,0,4.1
BIND000148,Q007989,STA01,2024-11-16,2024-11-19,True,3604.9,1,6.0
BIND000149,Q040152,STA01,2026-05-30,2026-06-01,True,1646.94,1,2.9
BIND000150,Q013219,STA04,,,False,29131.8,0,15.4
BIND000151,Q032530,STA03,,,False,18868.15,0,10.9
BIND000152,Q014164,STA07,,,False,21073.14,0,18.9
BIND000153,Q001641,STA02,,,False,37361.94,0,5.8
BIND000154,Q011726,STA01,2025-01-17,2025-01-24,True,2692.79,2,11.3
BIND000155,Q000963,STA03,,,False,59874.43,0,2.4
BIND000156,Q029848,STA01,2025-11-10,2025-11-18,True,1710.36,1,13.7
BIND000157,Q004126,STA01,2024-09-23,2024-09-23,True,1888.64,1,6.9
BIND000158,Q002142,STA02,,,False,2158.49,0,0.3
BIND000159,Q024777,STA06,,,False,36097.18,0,1.0
BIND000160,Q021312,STA01,2025-07-07,2025-07-11,True,2099.59,1,7.3
BIND000161,Q000931,STA06,,,False,17539.83,0,12.0
BIND000162,Q014967,STA01,2025-03-19,2025-03-22,True,20459.93,1,10.8
BIND000163,Q036882,STA01,2026-03-18,2026-03-22,True,3764.06,1,8.0
BIND000164,Q001577,STA07,,,False,2379.96,0,4.5
BIND000165,Q021485,STA07,,,False,17437.31,0,14.6
BIND000166,Q021772,STA01,2025-07-17,2025-07-21,True,2706.6,1,12.7
BIND000167,Q037695,STA05,,,False,35003.95,0,9.1
BIND000168,Q017164,STA07,,,False,21948.32,0,2.1
BIND000169,Q021302,STA04,,,False,57965.21,0,3.4
BIND000170,Q030978,STA02,,,False,4010.45,0,7.2
BIND000171,Q027585,STA03,,,False,3138.93,0,6.6
BIND000172,Q017487,STA03,,,False,39074.14,0,4.6
BIND000173,Q023773,STA07,,,False,37662.21,0,3.8
BIND000174,Q029991,STA06,,,False,1833.81,0,2.7
BIND000175,Q036050,STA07,,,False,1974.91,0,3.0
BIND000176,Q026653,STA04,,,False,25352.06,0,1.9
BIND000177,Q003349,STA01,2024-08-28,2024-09-02,True,29240.75,1,14.3
BIND000178,Q007600,STA05,,,False,17406.96,0,8.5
BIND000179,Q010517,STA01,2024-12-18,2024-12-18,True,1990.31,1,3.3
BIND000180,Q033797,STA02,,,False,28877.75,0,3.8
BIND000181,Q030103,STA08,,,False,30194.83,0,3.5
BIND000182,Q022434,STA04,,,False,1898.05,0,33.4
BIND000183,Q040093,STA01,2026-06-03,2026-06-06,True,30914.84,4,11.4
BIND000184,Q022582,STA03,,,False,4646.12,0,11.7
BIND000185,Q038484,STA05,,,False,36240.46,0,7.3
BIND000186,Q008586,STA02,,,False,3413.83,0,6.4
BIND000187,Q003906,STA01,2024-09-04,2024-09-10,True,2015.69,1,6.2
BIND000188,Q026240,STA03,,,False,4619.65,0,11.5
BIND000189,Q021056,STA01,2025-07-03,2025-07-04,True,18914.01,1,4.2
BIND000190,Q033002,STA05,,,False,1314.08,0,12.5
BIND000191,Q006745,STA06,,,False,9200.01,0,2.3
BIND000192,Q018298,STA01,2025-06-04,2025-06-12,True,2123.72,1,12.8
BIND000193,Q028935,STA01,2025-11-06,2025-11-08,True,3040.69,1,4.4
BIND000194,Q027059,STA01,2025-10-10,2025-10-14,True,15202.03,1,13.0
BIND000195,Q031610,STA01,2025-12-24,2025-12-26,True,3685.56,1,11.2
BIND000196,Q004744,STA01,2024-09-21,2024-09-30,True,1646.4,1,14.2
BIND000197,Q018635,STA04,,,False,24799.66,0,3.4
BIND000198,Q024484,STA05,,,False,40905.72,0,3.9
BIND000199,Q028640,STA08,,,False,85423.9,0,2.7
BIND000200,Q010372,STA07,,,False,33853.67,0,11.2
BIND000201,Q004472,STA01,2024-10-05,2024-10-06,True,30371.76,1,14.1
BIND000202,Q027784,STA02,,,False,1593.8,0,7.5
BIND000203,Q034002,STA01,2026-03-02,2026-03-05,True,42176.36,1,9.1
BIND000204,Q041139,STA10,,,False,,0,
BIND000205,Q016240,STA01,2025-04-03,2025-04-11,True,6645.32,1,13.8
BIND000206,Q024617,STA08,,,False,44680.99,0,5.1
BIND000207,Q020511,STA06,,,False,3947.89,0,7.9
BIND000208,Q022236,STA02,,,False,1732.92,0,3.4
BIND000209,Q037261,STA03,,,False,20352.68,0,8.4
BIND000210,Q001134,STA07,,,False,2671.53,0,7.0
BIND000211,Q012159,STA03,,,False,22825.56,0,5.5
BIND000212,Q032734,STA01,2026-01-20,2026-01-26,True,25158.35,4,8.2
BIND000213,Q031248,STA02,,,False,20208.52,0,8.3
BIND000214,Q036395,STA01,2026-04-09,2026-04-09,True,2520.87,1,10.6
BIND000215,Q019960,STA05,,,False,12734.19,0,3.4
BIND000216,Q029600,STA05,,,False,19421.57,0,2.2
BIND000217,Q021147,STA02,,,False,3833.16,0,7.3
BIND000218,Q039824,STA05,,,False,2462.31,0,18.8
BIND000219,Q008770,STA03,,,False,1409.27,0,4.8
BIND000220,Q036607,STA01,2026-03-28,2026-04-01,True,2187.03,1,5.2
BIND000221,Q009349,STA01,2024-12-16,2024-12-18,True,12664.05,1,6.2
BIND000222,Q009011,STA06,,,False,13752.7,0,3.4
BIND000223,Q036433,STA01,2026-03-11,2026-03-15,True,20141.09,1,5.4
BIND000224,Q005157,STA03,,,False,2064.04,0,4.4
BIND000225,Q036255,STA02,,,False,32716.43,0,0.6
BIND000226,Q008914,STA05,,,False,31845.54,0,9.8
BIND000227,Q021120,STA03,,,False,3656.3,0,15.5
BIND000228,Q008624,STA01,2024-11-25,2024-11-27,True,1479.96,1,16.2
BIND000229,Q010595,STA03,,,False,37259.06,0,3.6
BIND000230,Q000859,STA04,,,False,3221.77,0,21.9
BIND000231,Q040486,STA04,,,False,1226.86,0,14.9
BIND000232,Q004596,STA06,,,False,47346.07,0,8.6
BIND000233,Q021091,STA03,,,False,1450.31,0,8.6
BIND000234,Q006972,STA02,,,False,2053.23,0,1.7
BIND000235,Q038530,STA02,,,False,12735.17,0,13.5
BIND000236,Q011792,STA01,2025-01-19,2025-01-22,True,2023.44,1,6.5
BIND000237,Q013228,STA02,,,False,25869.96,0,36.8
BIND000238,Q006930,STA01,2024-11-13,2024-11-19,True,50314.06,1,8.9
BIND000239,Q000350,STA07,,,False,2649.04,0,11.4
BIND000240,Q000962,STA01,2024-06-17,2024-06-17,True,2345.43,1,2.7
BIND000241,Q003794,STA01,2024-10-10,2024-10-13,True,53480.81,4,12.6
BIND000242,Q024558,STA01,2025-09-05,2025-09-10,True,19664.07,5,6.5
BIND000243,Q005808,STA03,,,False,3716.55,0,13.4
BIND000244,Q027757,STA02,,,False,42062.59,0,3.3
BIND000245,Q016597,STA08,,,False,44558.04,0,3.9
BIND000246,Q002013,STA08,,,False,2464.5,0,5.6
BIND000247,Q040892,STA01,2026-05-30,2026-06-02,True,1169.06,1,11.4
BIND000248,Q037733,STA01,2026-03-25,2026-03-26,True,43508.57,1,3.6
BIND000249,Q019938,STA03,,,False,2375.48,0,2.6
BIND000250,Q002931,STA01,2024-08-30,2024-09-01,True,4562.85,1,4.1
BIND000251,Q012562,STA03,,,False,23196.52,0,8.6
BIND000252,Q019689,STA02,,,False,20903.81,0,7.0
BIND000253,Q010929,STA02,,,False,28639.7,0,4.2
BIND000254,Q038091,STA05,,,False,23653.51,0,9.8
BIND000255,Q033580,STA07,,,False,1664.08,0,1.3
BIND000256,Q029314,STA01,2025-11-11,2025-11-13,True,30568.73,1,4.2
BIND000257,Q026029,STA07,,,False,2344.92,0,1.9
BIND000258,Q010623,STA02,,,False,20934.06,0,6.5
BIND000259,Q006108,STA01,2024-10-26,2024-10-29,True,13563.59,5,6.1
BIND000260,Q030110,STA01,2025-11-16,2025-11-21,True,41918.19,1,11.8
BIND000261,Q014103,STA03,,,False,37344.72,0,14.8
BIND000262,Q035557,STA03,,,False,1291.68,0,6.5
BIND000263,Q009481,STA02,,,False,90076.68,0,9.2
BIND000264,Q017231,STA02,,,False,5036.14,0,8.2
BIND000265,Q034903,STA01,2026-03-04,2026-03-07,True,4891.59,1,12.5
BIND000266,Q023133,STA01,2025-08-23,2025-08-25,True,3274.91,1,3.2
BIND000267,Q030708,STA04,,,False,2071.98,0,4.9
BIND000268,Q030331,STA07,,,False,29707.57,0,3.1
BIND000269,Q014310,STA01,2025-02-16,2025-02-17,True,15825.17,1,3.2
BIND000270,Q006953,STA05,,,False,10370.52,0,2.8
BIND000271,Q030043,STA01,2025-11-28,2025-12-01,True,1472.12,1,8.0
BIND000272,Q032975,STA01,2026-02-06,2026-02-07,True,14869.01,1,7.3
BIND000273,Q030861,STA01,2025-12-10,2025-12-11,True,39628.32,1,2.9
BIND000274,Q009624,STA03,,,False,4832.12,0,5.8
BIND000275,Q024893,STA08,,,False,2777.25,0,7.7
BIND000276,Q030181,STA01,2025-12-02,2025-12-03,True,2643.1,1,7.5
BIND000277,Q015197,STA07,,,False,39605.71,0,5.0
BIND000278,Q035526,STA07,,,False,2989.95,0,4.9
BIND000279,Q015775,STA01,2025-03-18,2025-03-19,True,2523.78,1,2.5
BIND000280,Q017825,STA05,,,False,2337.23,0,4.5
BIND000281,Q017372,STA01,2025-05-05,2025-05-05,True,1862.69,1,9.6
BIND000282,Q008241,STA07,,,False,23304.95,0,22.7
BIND000283,Q001975,STA09,,,False,2960.15,0,1.3
BIND000284,Q011922,STA01,2025-01-17,2025-01-18,True,1882.97,1,9.2
BIND000285,Q022986,STA04,,,False,1342.9,0,12.5
BIND000286,Q041507,STA04,,,False,3975.05,0,12.1
BIND000287,Q014069,STA07,,,False,1876.09,0,4.9
BIND000288,Q022508,STA01,2025-07-17,2025-07-19,True,3454.79,3,3.0
BIND000289,Q003587,STA01,2024-09-30,2024-10-01,True,2505.11,1,6.0
BIND000290,Q023020,STA07,,,False,42936.78,0,3.8
BIND000291,Q016482,STA02,,,False,52958.28,0,1.6
BIND000292,Q007809,STA05,,,False,1958.39,0,5.3
BIND000293,Q014555,STA03,,,False,2134.03,0,13.3
BIND000294,Q031252,STA01,2025-12-26,2025-12-28,True,14155.78,3,5.4
BIND000295,Q014572,STA07,,,False,12791.0,0,1.5
BIND000296,Q013997,STA01,2025-02-21,2025-02-26,True,1551.2,1,9.9
BIND000297,Q031821,STA01,2025-12-28,2025-12-28,True,1397.3,1,15.8
BIND000298,Q012352,STA08,,,False,3668.57,0,5.8
BIND000299,Q008122,STA01,2024-11-19,2024-12-02,True,2923.55,1,13.8
BIND000300,Q024246,STA01,2025-09-11,2025-09-11,True,3371.62,1,8.7
BIND000301,Q037221,STA01,2026-03-17,2026-03-20,True,16248.23,1,17.3
BIND000302,Q020310,STA01,2025-06-25,2025-06-28,True,2426.08,1,4.5
BIND000303,Q000332,STA04,,,False,17230.15,0,4.6
BIND000304,Q030981,STA04,,,False,27661.25,0,0.7
BIND000305,Q003458,STA02,,,False,26900.82,0,3.1
BIND000306,Q013479,STA02,,,False,5641.06,0,6.6
BIND000307,Q000318,STA08,,,False,2227.7,0,4.3
BIND000308,Q021396,STA03,,,False,3215.83,0,2.1
BIND000309,Q007523,STA02,,,False,4805.08,0,1.6
BIND000310,Q006645,STA04,,,False,3818.21,0,1.0
BIND000311,Q013045,STA01,2025-02-19,2025-02-20,True,10280.3,1,12.0
BIND000312,Q009647,STA07,,,False,890.18,0,22.8
BIND000313,Q032578,STA03,,,False,2211.4,0,13.4
BIND000314,Q031093,STA01,2025-12-08,2025-12-11,True,19093.62,2,3.1
BIND000315,Q013949,STA03,,,False,35682.29,0,5.8
BIND000316,Q034008,STA07,,,False,2289.84,0,2.8
BIND000317,Q033761,STA02,,,False,1854.62,0,4.9
BIND000318,Q020566,STA03,,,False,27037.45,0,7.9
BIND000319,Q022290,STA07,,,False,49914.68,0,9.3
BIND000320,Q037439,STA01,2026-03-25,2026-03-29,True,2415.32,1,6.0
BIND000321,Q022838,STA09,,,False,65388.5,0,2.5
BIND000322,Q021155,STA02,,,False,2710.61,0,12.1
BIND000323,Q022379,STA02,,,False,49321.14,0,8.6
BIND000324,Q025673,STA02,,,False,28010.77,0,10.5
BIND000325,Q015838,STA03,,,False,2920.44,0,11.4
BIND000326,Q012174,STA01,2025-01-25,2025-01-26,True,1668.73,1,2.2
BIND000327,Q023246,STA01,2025-08-09,2025-08-13,True,3442.6,1,9.1
BIND000328,Q008068,STA05,,,False,2221.71,0,14.0
BIND000329,Q008939,STA03,,,False,21856.16,0,6.5
BIND000330,Q015069,STA05,,,False,2697.87,0,7.5
BIND000331,Q013962,STA07,,,False,2513.51,0,1.1
BIND000332,Q036376,STA07,,,False,36576.95,0,12.8
BIND000333,Q002399,STA01,2024-08-24,2024-09-01,True,1702.5,1,26.0
BIND000334,Q014022,STA01,2025-02-18,2025-02-23,True,1439.92,1,6.9
BIND000335,Q013107,STA01,2025-02-20,2025-02-25,True,3824.93,1,10.2
BIND000336,Q031509,STA02,,,False,20118.65,0,2.6
BIND000337,Q024121,STA02,,,False,2874.13,0,3.2
BIND000338,Q002051,STA02,,,False,1888.84,0,5.9
BIND000339,Q000416,STA02,,,False,2742.55,0,6.4
BIND000340,Q004532,STA01,2024-09-09,2024-09-10,True,20493.62,1,5.2
BIND000341,Q010820,STA02,,,False,3293.44,0,4.6
BIND000342,Q029790,STA03,,,False,2537.2,0,8.1
BIND000343,Q039660,STA01,2026-04-17,2026-04-21,True,1710.11,1,14.0
BIND000344,Q024395,STA03,,,False,38254.6,0,13.6
BIND000345,Q024435,STA03,,,False,14660.03,0,8.1
BIND000346,Q006154,STA03,,,False,34610.87,0,3.0
BIND000347,Q028908,STA05,,,False,18239.04,0,8.2
BIND000348,Q019407,STA01,2025-06-17,2025-06-18,True,23008.74,2,20.3
BIND000349,Q027516,STA06,,,False,31585.83,0,5.2
BIND000350,Q008156,STA03,,,False,21268.24,0,2.3
BIND000351,Q029134,STA05,,,False,14416.55,0,8.4
BIND000352,Q007390,STA01,2024-11-23,2024-11-25,True,9750.17,1,5.4
BIND000353,Q023195,STA03,,,False,5702.63,0,15.6
BIND000354,Q039828,STA03,,,False,66921.52,0,8.7
BIND000355,Q024379,STA01,2025-09-12,2025-09-12,True,17952.87,1,3.0
BIND000356,Q035381,STA01,2026-02-25,2026-02-26,True,1980.76,1,2.4
BIND000357,Q018616,STA03,,,False,2315.82,0,9.2
BIND000358,Q024903,STA07,,,False,2827.37,0,20.3
BIND000359,Q010041,STA02,,,False,2300.83,0,8.9
BIND000360,Q028652,STA09,,,False,3444.19,0,3.4
BIND000361,Q028681,STA02,,,False,7139.35,0,15.0
BIND000362,Q013939,STA01,2025-03-03,2025-03-04,True,12494.21,4,13.4
BIND000363,Q011350,STA02,,,False,1866.45,0,2.3
BIND000364,Q003116,STA01,2024-08-09,2024-08-13,True,1995.11,1,8.9
BIND000365,Q028981,STA02,,,False,1327.89,0,5.8
BIND000366,Q003598,STA03,,,False,1074.42,0,9.6
BIND000367,Q014017,STA02,,,False,42607.32,0,11.4
BIND000368,Q040904,STA03,,,False,43942.24,0,6.1
BIND000369,Q041303,STA01,2026-05-17,2026-05-19,True,2562.11,1,10.6
BIND000370,Q006833,STA04,,,False,2664.45,0,5.2
BIND000371,Q034762,STA08,,,False,2631.88,0,4.4
BIND000372,Q007110,STA03,,,False,2571.23,0,20.0
BIND000373,Q041383,STA03,,,False,20212.27,0,19.2
BIND000374,Q007783,STA01,2024-11-26,2024-11-27,True,25576.25,1,2.4
BIND000375,Q004382,STA09,,,False,16654.83,0,3.0
BIND000376,Q031025,STA01,2025-12-17,2025-12-22,True,1935.33,1,7.2
BIND000377,Q041117,STA02,,,False,3545.35,0,12.3
BIND000378,Q004496,STA05,,,False,55728.06,0,12.6
BIND000379,Q019351,STA07,,,False,1857.29,0,7.5
BIND000380,Q031837,STA01,2025-12-08,2025-12-09,True,2122.37,1,2.1
BIND000381,Q031296,STA05,,,False,8424.07,0,3.0
BIND000382,Q038994,STA02,,,False,65445.48,0,10.0
BIND000383,Q009729,STA02,,,False,2489.43,0,6.5
BIND000384,Q035910,STA03,,,False,3560.67,0,9.9
BIND000385,Q016040,STA01,2025-03-08,2025-03-12,True,20477.82,3,7.0
BIND000386,Q001919,STA01,2024-08-05,2024-08-07,True,2036.84,1,11.6
BIND000387,Q031621,STA05,,,False,17809.95,0,13.3
BIND000388,Q009888,STA01,2024-12-18,2024-12-21,True,1194.25,1,5.1
BIND000389,Q028628,STA01,2025-11-11,2025-11-15,True,2285.81,1,7.4
BIND000390,Q022062,STA07,,,False,4429.92,0,6.1
BIND000391,Q002505,STA01,2024-08-30,2024-09-04,True,3977.23,1,11.7
BIND000392,Q025906,STA05,,,False,31211.87,0,3.9
BIND000393,Q036675,STA02,,,False,23629.96,0,10.3
BIND000394,Q013467,STA02,,,False,2893.15,0,8.2
BIND000395,Q012189,STA04,,,False,2502.92,0,4.8
BIND000396,Q009361,STA05,,,False,15613.75,0,11.3
BIND000397,Q039878,STA07,,,False,67438.6,0,4.4
BIND000398,Q039564,STA04,,,False,15536.08,0,7.8
BIND000399,Q035781,STA04,,,False,20714.66,0,6.3
BIND000400,Q008082,STA03,,,False,11451.26,0,13.2
BIND000401,Q041849,STA06,,,False,2028.66,0,2.9
BIND000402,Q036057,STA01,2026-04-07,2026-04-11,True,1752.75,1,13.4
BIND000403,Q031087,STA01,2025-12-15,2025-12-19,True,24878.38,4,9.6
BIND000404,Q015428,STA02,,,False,3826.6,0,19.3
BIND000405,Q014159,STA07,,,False,36344.5,0,2.7
BIND000406,Q040807,STA05,,,False,2691.34,0,6.2
BIND000407,Q006804,STA01,2024-11-02,2024-11-06,True,2122.3,1,5.6
