Table,Column,DataType,Description,BusinessMeaning
FactQuote,AssignedDateTime,Datetime,Timestamp quote assigned to agent,SLA stage timestamp
FactQuote,RaterCompletedDateTime,Datetime,Timestamp rater entry completed,SLA stage timestamp
FactQuote,RaterStatus,Text,Completed/Abandoned/Duplicate,Funnel stage-1 outcome
FactQuote,ProcessingDurationHours,Decimal,Hours from assignment to rater completion,Agent turnaround time measure
FactQuote,ReworkAtRaterFlag,Boolean,1 if rater entry required rework before QA,Early rework indicator
FactQualityReview,ReviewID,Text,Unique QA review event identifier,Primary key; grain is one row per review pass
FactQualityReview,QuoteID,Text,FK to FactQuote,Links QA outcome to the quote
FactQualityReview,QuotingAgentID,Text,FK to DimEmployee (agent being reviewed),Attributes errors to the agent who entered the data
FactQualityReview,ReviewerID,Text,FK to DimEmployee (quality reviewer),Reviewer workload/performance analysis
FactQualityReview,ReviewDate,Date,Date of review,Trend analysis
FactQualityReview,ReviewSequence,Integer,"1 = first pass, 2 = post-rework pass",Rework loop tracking
FactQualityReview,ErrorFound,Boolean,True if an error was found,Core quality measure
FactQualityReview,ErrorCategoryID,Text,FK to DimErrorCategory (null if no error),Error category analysis
FactQualityReview,ErrorSeverity,Text,Low/Medium/High/Critical (null if no error),Error severity analysis
FactQualityReview,ReworkRequired,Boolean,True if rework was required,Rework volume analysis
FactQualityReview,ErrorResolved,Boolean,True if the error was resolved,Resolution tracking
FactQualityReview,ReworkDurationHours,Decimal,Hours spent on rework (null if none),Rework cost/time analysis
FactQualityReview,FirstTimeRight,Boolean,True only if sequence 1 and no error found,Core FTR% measure
FactUnderwriting,UnderwritingID,Text,Unique underwriting record identifier,Primary key; grain is one row per quote reaching underwriting
FactUnderwriting,QuoteID,Text,FK to FactQuote,Links underwriting outcome to the quote
FactUnderwriting,UnderwriterID,Text,FK to DimEmployee,Underwriter performance analysis
FactUnderwriting,UnderwritingDate,Date,Date underwriting was performed,Trend analysis
FactUnderwriting,RiskScore,Decimal,Risk score carried into underwriting,Underwriting risk measure
FactUnderwriting,Premium,Decimal,Calculated premium in AUD,Core premium measure
FactUnderwriting,PremiumRange,Text,Bucketed premium range,Premium distribution analysis
FactUnderwriting,UnderwritingDecision,Text,Approved/Declined/Referred,Underwriting outcome analysis
FactUnderwriting,IndiaEligibleFlag,Boolean,True if within India underwriting authority,India vs Australia underwriting split
FactUnderwriting,ReferredToAustraliaFlag,Boolean,True if referred to Australia,Core referral measure
FactUnderwriting,ReferralReasonID,Text,FK to DimReferralReason (null if not referred),Referral driver analysis
FactUnderwriting,AustralianUnderwriterDecision,Text,Approved/Approved with Conditions/Declined (null if not referred),Referral outcome analysis
FactUnderwriting,ReferralTurnaroundHours,Decimal,Hours for Australian referral decision (null if not referred),Referral SLA analysis
FactUnderwriting,UnderwritingTurnaroundHours,Decimal,Hours from QA-pass to underwriting completion,Underwriting SLA analysis
FactUnderwriting,QSTBDate,Date,Date quote sent to broker (null if declined),Funnel stage timestamp
FactUnderwriting,FinalPremium,Decimal,Final premium sent to broker (null if declined),Premium sent measure
FactUnderwriting,QuoteValidityDays,Integer,Days the quote remains valid,Quote lifecycle tracking
FactUnderwriting,CommunicationStatus,Text,Sent/Acknowledged/No Response/N/A,Broker communication tracking
FactBinding,BindingID,Text,Unique binding outcome identifier,Primary key; grain is one row per quote that reached QSTB
FactBinding,QuoteID,Text,FK to FactQuote / FactUnderwriting,Links outcome to the quote
FactBinding,StatusID,Text,FK to DimStatus,Outcome analysis
FactBinding,BrokerAcceptanceDate,Date,Date broker accepted (null if not bound),Conversion timing analysis
FactBinding,BindingDate,Date,Date policy was bound (null if not bound),Core binding measure
FactBinding,BoundFlag,Boolean,True if the quote resulted in a bound policy,Core binding rate measure
FactBinding,FinalPremium,Decimal,Final bound/quoted premium AUD (null if pending),Revenue measure
FactBinding,PolicyPropertyCount,Integer,Number of properties bound (0 if not bound),Bound property volume
FactBinding,TurnaroundDaysQSTBtoOutcome,Decimal,Days from QSTB to bind/lost outcome,Conversion speed analysis
